노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
0270,순천완주선,37.3000,35.246332755,127.422456726,238449.484510,294505.543708
0270,순천완주선,37.4000,35.247054657,127.421799028,238389.284130,294585.381407
0270,순천완주선,37.5000,35.247786573,127.421157819,238330.580786,294666.336957
0270,순천완주선,37.6000,35.248518545,127.420516697,238271.886401,294747.299001
0270,순천완주선,37.7000,35.249250513,127.419875563,238213.192011,294828.261046
0270,순천완주선,37.8000,35.249982477,127.419234418,238154.497621,294909.223090
0270,순천완주선,37.9000,35.250714438,127.418593262,238095.803232,294990.185134
0270,순천완주선,38.0000,35.251446396,127.417952094,238037.108852,295071.147179
0270,순천완주선,38.1000,35.252178350,127.417310915,237978.414463,295152.109223
0270,순천완주선,38.2000,35.252910301,127.416669724,237919.720074,295233.071267
0270,순천완주선,38.3000,35.253642249,127.416028521,237861.025684,295314.033316
0270,순천완주선,38.4000,35.254374210,127.415387293,237802.329951,295394.997228
0270,순천완주선,38.5000,35.255106151,127.414746067,237743.635562,295475.959272
0270,순천완주선,38.6000,35.255838088,127.414104830,237684.941173,295556.921316
0270,순천완주선,38.7000,35.256561594,127.413470974,237626.923404,295636.951088
0270,순천완주선,38.8000,35.257301952,127.412822322,237567.552401,295718.845403
0270,순천완주선,38.9000,35.258033879,127.412181051,237508.858017,295799.807447
0270,순천완주선,39.0000,35.258765803,127.411539768,237450.163629,295880.769491
0270,순천완주선,39.1000,35.259497723,127.410898473,237391.469240,295961.731534
0270,순천완주선,39.2000,35.260237625,127.410270757,237334.007833,296043.584630
0270,순천완주선,39.3000,35.260974287,127.409637600,237276.053882,296125.076556
0270,순천완주선,39.4000,35.261725496,127.409030474,237220.463028,296208.192568
0270,순천완주선,39.5000,35.262498867,127.408466308,237168.772236,296293.783782
0270,순천완주선,39.6000,35.263294425,127.407950029,237121.429851,296381.854741
0270,순천완주선,39.7000,35.264110175,127.407482932,237078.554537,296472.184703
