"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"동구","집단가구[가구]","가구","88","77","97","109","102","107",
"동구","외국인가구[가구]","가구","820","938","1243","1440","1780","1875",
"동구","주택-계[호]","호","77218","77569","76777","78580","79740","79262",
"동구","단독주택[호]","호","20051","19922","19765","19612","19205","18943",
"동구","아파트[호]","호","46817","47225","46533","48413","50046","49761",
"동구","연립주택[호]","호","2183","2230","2227","2248","2281","2306",
"동구","다세대주택[호]","호","7017","7061","7107","7166","7047","7082",
"동구","비거주용 건물내 주택[호]","호","1150","1131","1145","1141","1161","1170",
"동구","주택이외의 거처[호]","호","963","967","1064","1066","1112","1120",
"중구","총인구[명]","명","250434","246904","243540","239284","234995","231959",
"중구","남자[명]","명","123975","122142","120356","117939","115835","113814",
"중구","여자[명]","명","126459","124762","123184","121345","119160","118145",
"중구","내국인-계[명]","명","248584","245091","241733","237337","232914","229936",
"중구","내국인-남자[명]","명","123258","121452","119658","117203","115035","113104",
"중구","내국인-여자[명]","명","125326","123639","122075","120134","117879","116832",
"중구","외국인-계[명]","명","1850","1813","1807","1947","2081","2023",
"중구","외국인-남자[명]","명","717","690","698","736","800","710",
"중구","외국인-여자[명]","명","1133","1123","1109","1211","1281","1313",
"중구","가구-계[가구]","가구","95581","95584","96177","96448","96758","98346",
"중구","일반가구[가구]","가구","94909","94941","95532","95807","96106","97687",
